hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100031ccaaa000a00000c1,2,7,23,174
0250401074100031ccaaa000a00000c1,2,7,24,1152
0250401074100031ccaaa000a00000c1,2,7,25,177
0250401074100031ccaaa000a00000c1,2,7,26,174
0250401074100031ccaaa000a00000c1,2,7,27,175
0250401074100031ccaaa000a00000c1,2,7,28,175
0250401074100031ccaaa000a00000c1,2,7,29,173
0250401074100031ccaaa000a00000c1,2,7,30,177
0250401074100031ccaaa000a00000c1,2,7,31,177
0250401074100031ccaaa000a00000c1,2,7,32,175
0250401074100031ccaaa000a00000c1,2,7,33,399
0250401074100031ccaaa000a00000c1,2,7,34,174
0250401074100031ccaaa000a00000c1,2,7,35,176
0250401074100031ccaaa000a00000c1,2,7,36,177
0250401074100031ccaaa000a00000c1,2,7,37,1152
0250401074100031ccaaa000a00000c1,2,7,38,174
0250401074100031ccaaa000a00000c1,2,7,39,1152
0250401074100031ccaaa000a00000c1,2,7,40,176
0250401074100031ccaaa000a00000c1,2,7,41,833
0250401074100031ccaaa000a00000c1,2,7,42,175
0250401074100031ccaaa000a00000c1,2,7,43,176
0250401074100031ccaaa000a00000c1,2,7,44,179
0250401074100031ccaaa000a00000c1,2,7,45,177
0250401074100031ccaaa000a00000c1,2,7,46,173
0250401074100031ccaaa000a00000c1,2,7,47,180
0250401074100031ccaaa000a00000c1,2,7,48,175
0250401074100031ccaaa000a00000c1,2,7,49,178
0250401074100031ccaaa000a00000c1,2,7,50,182
0250401074100031ccaaa000a00000c1,2,7,51,175
0250401074100031ccaaa000a00000c1,2,7,52,175
0250401074100031ccaaa000a00000c1,2,7,53,172
0250401074100031ccaaa000a00000c1,2,7,54,176
0250401074100031ccaaa000a00000c1,2,7,55,179
0250401074100031ccaaa000a00000c1,2,7,56,174
0250401074100031ccaaa000a00000c1,2,7,57,176
0250401074100031ccaaa000a00000c1,2,7,58,175
0250401074100031ccaaa000a00000c1,2,7,59,172
0250401074100031ccaaa000a00000c1,2,7,60,177
0250401074100031ccaaa000a00000c1,2,7,61,172
0250401074100031ccaaa000a00000c1,2,7,62,173
0250401074100031ccaaa000a00000c1,2,7,63,179
hybrid_id, fec,vmm,ch, pedestal [mV]
025040107410003188d2a000a00000a1,2,8,0,173
025040107410003188d2a000a00000a1,2,8,1,1157
025040107410003188d2a000a00000a1,2,8,2,173
025040107410003188d2a000a00000a1,2,8,3,1158
025040107410003188d2a000a00000a1,2,8,4,1158
025040107410003188d2a000a00000a1,2,8,5,172
025040107410003188d2a000a00000a1,2,8,6,726
025040107410003188d2a000a00000a1,2,8,7,1153
025040107410003188d2a000a00000a1,2,8,8,175
025040107410003188d2a000a00000a1,2,8,9,1156
025040107410003188d2a000a00000a1,2,8,10,170
025040107410003188d2a000a00000a1,2,8,11,172
025040107410003188d2a000a00000a1,2,8,12,173
025040107410003188d2a000a00000a1,2,8,13,171
025040107410003188d2a000a00000a1,2,8,14,172
025040107410003188d2a000a00000a1,2,8,15,174
025040107410003188d2a000a00000a1,2,8,16,171
025040107410003188d2a000a00000a1,2,8,17,170
025040107410003188d2a000a00000a1,2,8,18,169
025040107410003188d2a000a00000a1,2,8,19,172
025040107410003188d2a000a00000a1,2,8,20,173
025040107410003188d2a000a00000a1,2,8,21,173
025040107410003188d2a000a00000a1,2,8,22,174
025040107410003188d2a000a00000a1,2,8,23,174
025040107410003188d2a000a00000a1,2,8,24,172
025040107410003188d2a000a00000a1,2,8,25,174
025040107410003188d2a000a00000a1,2,8,26,171
025040107410003188d2a000a00000a1,2,8,27,170
025040107410003188d2a000a00000a1,2,8,28,1155
025040107410003188d2a000a00000a1,2,8,29,173
025040107410003188d2a000a00000a1,2,8,30,166
025040107410003188d2a000a00000a1,2,8,31,173
025040107410003188d2a000a00000a1,2,8,32,170
025040107410003188d2a000a00000a1,2,8,33,173
025040107410003188d2a000a00000a1,2,8,34,171
025040107410003188d2a000a00000a1,2,8,35,171
025040107410003188d2a000a00000a1,2,8,36,168
