hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100031ccaaa000a00000c1,2,6,44,245
0250401074100031ccaaa000a00000c1,2,6,45,244
0250401074100031ccaaa000a00000c1,2,6,46,245
0250401074100031ccaaa000a00000c1,2,6,47,248
0250401074100031ccaaa000a00000c1,2,6,48,246
0250401074100031ccaaa000a00000c1,2,6,49,239
0250401074100031ccaaa000a00000c1,2,6,50,245
0250401074100031ccaaa000a00000c1,2,6,51,250
0250401074100031ccaaa000a00000c1,2,6,52,244
0250401074100031ccaaa000a00000c1,2,6,53,247
0250401074100031ccaaa000a00000c1,2,6,54,244
0250401074100031ccaaa000a00000c1,2,6,55,247
0250401074100031ccaaa000a00000c1,2,6,56,249
0250401074100031ccaaa000a00000c1,2,6,57,247
0250401074100031ccaaa000a00000c1,2,6,58,246
0250401074100031ccaaa000a00000c1,2,6,59,241
0250401074100031ccaaa000a00000c1,2,6,60,249
0250401074100031ccaaa000a00000c1,2,6,61,246
0250401074100031ccaaa000a00000c1,2,6,62,246
0250401074100031ccaaa000a00000c1,2,6,63,241
hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100031ccaaa000a00000c1,2,7,0,256
0250401074100031ccaaa000a00000c1,2,7,1,252
0250401074100031ccaaa000a00000c1,2,7,2,254
0250401074100031ccaaa000a00000c1,2,7,3,257
0250401074100031ccaaa000a00000c1,2,7,4,256
0250401074100031ccaaa000a00000c1,2,7,5,255
0250401074100031ccaaa000a00000c1,2,7,6,251
0250401074100031ccaaa000a00000c1,2,7,7,257
0250401074100031ccaaa000a00000c1,2,7,8,250
0250401074100031ccaaa000a00000c1,2,7,9,253
0250401074100031ccaaa000a00000c1,2,7,10,255
0250401074100031ccaaa000a00000c1,2,7,11,256
0250401074100031ccaaa000a00000c1,2,7,12,277
0250401074100031ccaaa000a00000c1,2,7,13,251
0250401074100031ccaaa000a00000c1,2,7,14,275
0250401074100031ccaaa000a00000c1,2,7,15,253
0250401074100031ccaaa000a00000c1,2,7,16,273
0250401074100031ccaaa000a00000c1,2,7,17,252
0250401074100031ccaaa000a00000c1,2,7,18,250
0250401074100031ccaaa000a00000c1,2,7,19,256
0250401074100031ccaaa000a00000c1,2,7,20,275
0250401074100031ccaaa000a00000c1,2,7,21,253
0250401074100031ccaaa000a00000c1,2,7,22,270
0250401074100031ccaaa000a00000c1,2,7,23,252
0250401074100031ccaaa000a00000c1,2,7,24,275
0250401074100031ccaaa000a00000c1,2,7,25,255
0250401074100031ccaaa000a00000c1,2,7,26,252
0250401074100031ccaaa000a00000c1,2,7,27,252
0250401074100031ccaaa000a00000c1,2,7,28,253
0250401074100031ccaaa000a00000c1,2,7,29,251
0250401074100031ccaaa000a00000c1,2,7,30,255
0250401074100031ccaaa000a00000c1,2,7,31,254
0250401074100031ccaaa000a00000c1,2,7,32,252
0250401074100031ccaaa000a00000c1,2,7,33,277
0250401074100031ccaaa000a00000c1,2,7,34,251
0250401074100031ccaaa000a00000c1,2,7,35,254
0250401074100031ccaaa000a00000c1,2,7,36,254
0250401074100031ccaaa000a00000c1,2,7,37,271
0250401074100031ccaaa000a00000c1,2,7,38,252
0250401074100031ccaaa000a00000c1,2,7,39,272
0250401074100031ccaaa000a00000c1,2,7,40,254
0250401074100031ccaaa000a00000c1,2,7,41,274
0250401074100031ccaaa000a00000c1,2,7,42,253
0250401074100031ccaaa000a00000c1,2,7,43,253
0250401074100031ccaaa000a00000c1,2,7,44,257
0250401074100031ccaaa000a00000c1,2,7,45,255
0250401074100031ccaaa000a00000c1,2,7,46,251
0250401074100031ccaaa000a00000c1,2,7,47,258
0250401074100031ccaaa000a00000c1,2,7,48,253
0250401074100031ccaaa000a00000c1,2,7,49,255
0250401074100031ccaaa000a00000c1,2,7,50,260
0250401074100031ccaaa000a00000c1,2,7,51,253
0250401074100031ccaaa000a00000c1,2,7,52,253
0250401074100031ccaaa000a00000c1,2,7,53,249
0250401074100031ccaaa000a00000c1,2,7,54,254
0250401074100031ccaaa000a00000c1,2,7,55,257
0250401074100031ccaaa000a00000c1,2,7,56,252
0250401074100031ccaaa000a00000c1,2,7,57,254
0250401074100031ccaaa000a00000c1,2,7,58,253
0250401074100031ccaaa000a00000c1,2,7,59,250
0250401074100031ccaaa000a00000c1,2,7,60,255
0250401074100031ccaaa000a00000c1,2,7,61,250
0250401074100031ccaaa000a00000c1,2,7,62,252
0250401074100031ccaaa000a00000c1,2,7,63,257
hybrid_id, fec,vmm,ch, threshold [mV]
025040107410003188d2a000a00000a1,2,8,0,253
025040107410003188d2a000a00000a1,2,8,1,269
025040107410003188d2a000a00000a1,2,8,2,253
025040107410003188d2a000a00000a1,2,8,3,274
025040107410003188d2a000a00000a1,2,8,4,269
025040107410003188d2a000a00000a1,2,8,5,252
025040107410003188d2a000a00000a1,2,8,6,272
025040107410003188d2a000a00000a1,2,8,7,269
025040107410003188d2a000a00000a1,2,8,8,255
025040107410003188d2a000a00000a1,2,8,9,273
025040107410003188d2a000a00000a1,2,8,10,251
025040107410003188d2a000a00000a1,2,8,11,252
025040107410003188d2a000a00000a1,2,8,12,253
025040107410003188d2a000a00000a1,2,8,13,252
025040107410003188d2a000a00000a1,2,8,14,252
025040107410003188d2a000a00000a1,2,8,15,255
025040107410003188d2a000a00000a1,2,8,16,251
025040107410003188d2a000a00000a1,2,8,17,248
025040107410003188d2a000a00000a1,2,8,18,250
025040107410003188d2a000a00000a1,2,8,19,252
025040107410003188d2a000a00000a1,2,8,20,253
025040107410003188d2a000a00000a1,2,8,21,253
025040107410003188d2a000a00000a1,2,8,22,254
025040107410003188d2a000a00000a1,2,8,23,254
025040107410003188d2a000a00000a1,2,8,24,251
025040107410003188d2a000a00000a1,2,8,25,254
025040107410003188d2a000a00000a1,2,8,26,251
025040107410003188d2a000a00000a1,2,8,27,250
025040107410003188d2a000a00000a1,2,8,28,275
025040107410003188d2a000a00000a1,2,8,29,254
025040107410003188d2a000a00000a1,2,8,30,246
025040107410003188d2a000a00000a1,2,8,31,253
025040107410003188d2a000a00000a1,2,8,32,251
025040107410003188d2a000a00000a1,2,8,33,251
025040107410003188d2a000a00000a1,2,8,34,251
025040107410003188d2a000a00000a1,2,8,35,251
025040107410003188d2a000a00000a1,2,8,36,248
025040107410003188d2a000a00000a1,2,8,37,251
025040107410003188d2a000a00000a1,2,8,38,250
025040107410003188d2a000a00000a1,2,8,39,251
025040107410003188d2a000a00000a1,2,8,40,251
025040107410003188d2a000a00000a1,2,8,41,252
025040107410003188d2a000a00000a1,2,8,42,266
025040107410003188d2a000a00000a1,2,8,43,252
025040107410003188d2a000a00000a1,2,8,44,255
025040107410003188d2a000a00000a1,2,8,45,255
025040107410003188d2a000a00000a1,2,8,46,274
025040107410003188d2a000a00000a1,2,8,47,251
025040107410003188d2a000a00000a1,2,8,48,275
025040107410003188d2a000a00000a1,2,8,49,253
025040107410003188d2a000a00000a1,2,8,50,269
025040107410003188d2a000a00000a1,2,8,51,248
